HD\Step(V) ,0.0(V),2.00(V),2.10(V),2.20(V),2.30(V),2.40(V),2.50(V),2.55(V),2.60(V),2.65(V),2.70(V),2.75(V),2.80(V),2.85(V),2.90(V),2.95(V),3.00(V),3.05(V),3.10(V),3.15(V),3.20(V),3.25(V),3.30(V),3.35(V),3.40(V),
01.Y5GE227K,0,0.223664670910005,0.227118136722625,0.232168326473615,0.255131860726689,0.209548159846458,0.289477459909867,0.285934789035032,0.26545678098551,0.384383123934838,0.367096918376751,0.37907176814992,0.375954717939508,0.385910481328061,0.317891018615856,0.397732175407199,0.66920867138177,0.915709510650315,0.923252250962249,0.924473807037497,0.911790091780298,1,0.932808707634373,0.960777796626333,0.969572719182014,
02.Y5GE227J,0,0.0408792886954808,0.059800809273958,0.0634817454629837,0.0633003478456276,0.075625467096756,0.0834588369860241,0.0892428364631546,0.0831220524788181,0.0702612166561521,0.090768639255362,0.0819468121548279,0.345034048984295,0.368437783866214,0.328370372690623,0.380455902992422,0.289818710681709,0.706302423419911,0.783617017288418,0.803393487967908,0.773041169444271,0.843778493254069,0.885092411639027,1,0.997356969147581,
03.Y5GE227H,0,0.00738443175828089,0.0271937725101054,0.0266931850738694,0.0329899683852295,0.0355099554838147,0.0575677760899163,0.0651765328504986,0.0912444909449784,0.100629228104448,0.114965326252753,0.109206826956738,0.124456649353598,0.222643347067451,0.262692501306743,0.255894701975592,0.25459338919044,0.333842430091513,0.458400389414222,0.386920126705983,0.717588746484708,0.592949711771148,0.797433352398966,0.833619440897485,1,
04.Y5GE227G,0,0.00352616124309831,0.00256691010799417,0.00300687502363347,0.00675503264601612,0.00756464265117048,0.0115377969901899,0.00532768518415565,0.0136366265812497,0.0766859868574949,0.189353955290284,0.219254422943944,0.206106448633683,0.454247302783554,0.477893955099173,0.473287469852286,0.456182406399191,0.552269659621415,0.522193933017423,0.579946736775483,0.564297645019518,0.5916015521327,0.645730245098081,0.760093761321056,1,
05.Y5GE227F,0,0.0116108514058913,0.0127287462013956,0.0220652452102193,0.0672218538683228,0.186870992167478,0.181319806436106,0.218790770962465,0.216504668660397,0.2367923123762,0.238841140715818,0.564160189088478,0.555086812344788,0.557683316360314,0.581965366131049,0.809914305280091,0.787631910866646,0.837808101067331,0.881491772686561,1,0.859777317139389,0.832528988285559,0.871944812835934,0.930130692192734,0.903936681440035,
06.Y5GE227E,0,0.00858446803127832,0.0231595217548848,0.0323345792045379,0.106122035903615,0.0968244384698047,0.146078816468559,0.141976320486401,0.15306919947591,0.159594609197454,0.154806090244565,0.15612340864478,0.212935344035034,0.212079857470968,0.344403073067973,0.357121849949943,0.343046691478271,0.580157005012508,0.82047940134727,0.83093631932299,0.849153547069914,0.974522885966114,0.852358912084153,0.881110216168652,1,
07.Y5GE227Y,0,0.0854502623405781,0.0888297641620445,0.0888254258672849,0.0947145959187449,0.0968229242158221,0.147211916942675,0.140504806099865,0.140685297340774,0.158459304422099,0.148602601922663,0.168074529166748,0.429021289567194,0.416753829302657,0.471749304029994,0.618205665755956,0.60228603959614,0.617293101033671,0.74002197594116,0.732392194120389,0.712407093547025,0.829861742609416,0.826676673336376,0.979116738166475,1,
08.Y5GE227Z,0,0.16025076087902,0.200351414442199,0.230298104032266,0.38933312173169,0.334853557925979,0.431183066129669,0.455092244099072,0.359360431973242,0.388015666885625,0.49202536362547,0.761263739851641,0.760311439617519,0.716560903809759,0.756100494156846,0.735210888874572,0.824990607007346,0.869202230557998,0.92291245616529,0.883629867015783,0.986785714890707,1,0.962774900222313,0.989660510175449,0.994343132719558,
09.Y5GE2271,0,0.0664533562287878,0.0696177133264363,0.109873157059282,0.127439242313352,0.113442517801295,0.107854517220532,0.116837940257741,0.111887034780576,0.105298162978479,0.135298083425876,0.152644768776898,0.415227143967701,0.51501873534035,0.530336712816055,0.5230330208628,0.507353927188182,0.50437142525956,0.54964227093501,0.582900147206392,0.512985289665999,0.604952390076723,0.807501646062803,1,0.992232101268054,
10.Y5GE2272,0,0.0647718447812937,0.0698008673315568,0.0903066941458817,0.0974523813505412,0.0884587162989694,0.110297143321146,0.121440093980817,0.143381292272721,0.144364768773863,0.230965203079746,0.260121828492971,0.223875420945528,0.255892556849183,0.24642639139262,0.615422924767028,0.870932812626678,0.889927272182974,0.876526862546972,0.903070199606579,0.910843478793825,0.801601331766148,0.912523842193535,0.937009972172913,1,
11.Y5GE227X,0,0.015188222327969,0.0167662204102177,0.0122914944541992,0.0237911086911449,0.0241399442761232,0.0234120041899862,0.0233777080936987,0.0554269064933177,0.0324073830201539,0.0236294480962276,0.0469408988949829,0.0674887645012954,0.114886630067549,0.133493077607893,0.227429490357153,0.581053877269249,0.646063378342587,0.798673982204654,0.799491479268205,0.851576295725846,0.86764653676807,0.977013029982668,0.973013941122786,1,
12.Y5GE227W,0,0.0467209698267949,0.0689957042262444,0.0770437443641767,0.0687551439925735,0.0742565813275485,0.0822303963932267,0.116310422993974,0.065912327505789,0.0958957802087501,0.0894858912591804,0.170243822978087,0.302662229094223,0.324201399863461,0.373594909079348,0.335662802145685,0.388194678546682,0.348560858141838,0.369009286201462,0.350375892352873,0.489578645450595,0.484930738320497,1,0.972455795022245,0.946049371981269,
13.Y5GE227V,0,0.319368673432116,0.337334685133312,0.358660420024569,0.36529372536428,0.392144420510196,0.428708172267548,0.46069894705404,0.47167268314519,0.49547009854348,0.446094048332132,0.44057924431361,0.524787415312633,0.508580284492613,0.480425874722366,0.525539753461383,0.512667224106488,0.56563988231559,0.897088536219101,0.797897887609592,0.897444616807105,0.924989476161435,0.96511470198878,0.815009591866509,1,
14.Y5GE227U,0,0.0155375241126978,0.14550646798438,0.152048106413197,0.239894378557929,0.243016877862657,0.270989163675005,0.239666018026517,0.255509383363185,0.267854246088903,0.343560643084051,0.317662584650656,0.323294417398902,0.404664095938408,0.365277222358429,0.358083579277671,0.436022534111913,0.415155651125346,0.52368078645371,0.497588190938814,0.521440861861356,0.595390271891551,0.603520808885734,0.753875518319013,1,
15.Y5GE227T,0,0.00722764068090924,0.0109963240626304,0.0158994310556397,0.0461509109484767,0.0807547888394027,0.0917787930011586,0.0940344194258065,0.0938938246132287,0.0615788825824896,0.0885858088945488,0.118928404388848,0.0863446710022865,0.161933806905335,0.146164283689182,0.17439080781394,0.139924909414701,0.164955238196932,0.212262862446397,0.21715488270578,0.708783697281233,0.660947481339142,0.928937752444604,0.958947806033367,1,
